matrix_id,rhs_file,n,nnz,k,converged,reason,its,residual,time
57,mat_57.txt,mat_57.mtx,rhs_57_1.bin,0,True,2,29,1.7970912236340632e-09,0.0007873479999034316
57,mat_57.txt,mat_57.mtx,rhs_57_1.bin,1,True,2,25,6.898781110083513e-10,0.0007371300007434911
57,mat_57.txt,mat_57.mtx,rhs_57_1.bin,2,True,2,17,5.061881020207765e-10,0.000734686000214424
57,mat_57.txt,mat_57.mtx,rhs_57_1.bin,3,True,2,12,6.988991493345531e-10,0.0008516039997630287
57,mat_57.txt,mat_57.mtx,rhs_57_2.bin,0,True,2,29,1.2937531521095376e-08,0.0006628159999308991
57,mat_57.txt,mat_57.mtx,rhs_57_2.bin,1,True,2,24,6.938655930230166e-09,0.0006992750004428672
57,mat_57.txt,mat_57.mtx,rhs_57_2.bin,2,True,2,16,1.8770619717917562e-08,0.0006945949999135337
57,mat_57.txt,mat_57.mtx,rhs_57_2.bin,3,True,2,12,1.1657786435346264e-08,0.0008344930001840112
57,mat_57.txt,mat_57.mtx,rhs_57_3.bin,0,True,2,30,5.9587121864801695e-09,0.0006822329996793997
57,mat_57.txt,mat_57.mtx,rhs_57_3.bin,1,True,2,24,5.715140483762931e-09,0.0006933390004633111
57,mat_57.txt,mat_57.mtx,rhs_57_3.bin,2,True,2,17,1.8352144135198813e-09,0.0008076019994405215
57,mat_57.txt,mat_57.mtx,rhs_57_3.bin,3,True,2,12,3.812810232901832e-09,0.0008447600002909894
57,mat_57.txt,mat_57.mtx,rhs_57_4.bin,0,True,2,30,2.0349960401488377e-08,0.0006849569999758387
57,mat_57.txt,mat_57.mtx,rhs_57_4.bin,1,True,2,24,2.3843796818578804e-08,0.0006945259992789943
57,mat_57.txt,mat_57.mtx,rhs_57_4.bin,2,True,2,16,2.739319907759039e-08,0.000681255999552377
57,mat_57.txt,mat_57.mtx,rhs_57_4.bin,3,True,2,12,4.503079982876382e-08,0.0008327460000145948
57,mat_57.txt,mat_57.mtx,rhs_57_5.bin,0,True,2,30,1.547113800846133e-08,0.0006725940002070274
57,mat_57.txt,mat_57.mtx,rhs_57_5.bin,1,True,2,24,6.943956838376925e-09,0.0006986470007177559
57,mat_57.txt,mat_57.mtx,rhs_57_5.bin,2,True,2,17,8.006630915780048e-09,0.0007085639999786508
57,mat_57.txt,mat_57.mtx,rhs_57_5.bin,3,True,2,12,2.40082841136981e-08,0.0008247840005424223
57,mat_57.txt,mat_57.mtx,rhs_57_6.bin,0,True,2,30,5.961431642277234e-08,0.0006875409999338444
57,mat_57.txt,mat_57.mtx,rhs_57_6.bin,1,True,2,24,9.736006400933174e-08,0.0007109389998731785
57,mat_57.txt,mat_57.mtx,rhs_57_6.bin,2,True,2,16,2.708495780873818e-07,0.0006817439998485497
57,mat_57.txt,mat_57.mtx,rhs_57_6.bin,3,True,2,12,8.065402350913503e-08,0.0008332360002896166
57,mat_57.txt,mat_57.mtx,rhs_57_7.bin,0,True,2,30,1.1421694610139658e-07,0.0006773439999960829
